Trial,Program,n,W,T
2,lockfree,13,2000,2455046
2,mutex homequeue,13,2000,2799528
2,mutex awesome,13,2000,3176538
2,clh homequeue,13,2000,2704560
2,clh awesome,13,2000,2686619
2,serial,13,4000,209573
2,lockfree,13,4000,1270148
2,mutex homequeue,13,4000,1431141
2,mutex awesome,13,4000,2600209
2,clh homequeue,13,4000,1443506
2,clh awesome,13,4000,2609515
2,serial,13,8000,105092
2,lockfree,13,8000,712141
2,mutex homequeue,13,8000,724005
2,mutex awesome,13,8000,1342814
2,clh homequeue,13,8000,726309
2,clh awesome,13,8000,1343579
2,serial,27,1000,798498
2,lockfree,27,1000,1385226
2,mutex homequeue,27,1000,1763804
2,mutex awesome,27,1000,2282300
2,clh homequeue,27,1000,1836711
2,clh awesome,27,1000,1520987
2,serial,27,2000,412587
2,lockfree,27,2000,259023
2,mutex homequeue,27,2000,215414
2,mutex awesome,27,2000,2196978
2,clh homequeue,27,2000,836411
2,clh awesome,27,2000,1661806
2,serial,27,4000,209655
2,lockfree,27,4000,291585
2,mutex homequeue,27,4000,279412
2,mutex awesome,27,4000,2210553
2,clh homequeue,27,4000,60302
2,clh awesome,27,4000,2353776
2,serial,27,8000,105678
2,lockfree,27,8000,174230
2,mutex homequeue,27,8000,183264
2,mutex awesome,27,8000,879527
2,clh homequeue,27,8000,218389
2,clh awesome,27,8000,976007
3,serial,1,1000,799888
3,lockfree,1,1000,767563
3,mutex homequeue,1,1000,732917
3,mutex awesome,1,1000,735062
3,clh homequeue,1,1000,757744
3,clh awesome,1,1000,758362
3,serial,1,2000,411856
3,lockfree,1,2000,403417
3,mutex homequeue,1,2000,393423
3,mutex awesome,1,2000,393714
3,clh homequeue,1,2000,400905
3,clh awesome,1,2000,400856
3,serial,1,4000,209232
3,lockfree,1,4000,207021
3,mutex homequeue,1,4000,204187
3,mutex awesome,1,4000,204310
3,clh homequeue,1,4000,206352
3,clh awesome,1,4000,206384
3,serial,1,8000,105501
3,lockfree,1,8000,104936
3,mutex homequeue,1,8000,104247
3,mutex awesome,1,8000,104224
3,clh homequeue,1,8000,104819
3,clh awesome,1,8000,104827
3,serial,2,1000,800746
3,lockfree,2,1000,1299327
3,mutex homequeue,2,1000,1254402
3,mutex awesome,2,1000,1414507
3,clh homequeue,2,1000,1286930
3,clh awesome,2,1000,1491559
3,serial,2,2000,412026
3,lockfree,2,2000,671708
3,mutex homequeue,2,2000,661515
3,mutex awesome,2,2000,776123
3,clh homequeue,2,2000,678799
3,clh awesome,2,2000,784253
3,serial,2,4000,209268
3,lockfree,2,4000,343705
3,mutex homequeue,2,4000,339751
3,mutex awesome,2,4000,405741
3,clh homequeue,2,4000,341254
3,clh awesome,2,4000,409736
3,serial,2,8000,105262
3,lockfree,2,8000,172186
3,mutex homequeue,2,8000,173763
3,mutex awesome,2,8000,207625
3,clh homequeue,2,8000,174337
3,clh awesome,2,8000,208852
3,serial,3,1000,800718
3,lockfree,3,1000,1937647
3,mutex homequeue,3,1000,1841878
3,mutex awesome,3,1000,2136528
3,clh homequeue,3,1000,1932479
3,clh awesome,3,1000,2220455
3,serial,3,2000,412023
3,lockfree,3,2000,1007810
3,mutex homequeue,3,2000,992803
3,mutex awesome,3,2000,1162189
3,clh homequeue,3,2000,1010051
3,clh awesome,3,2000,1190302
3,serial,3,4000,209349
3,lockfree,3,4000,514370
3,mutex homequeue,3,4000,507755
3,mutex awesome,3,4000,608194
3,clh homequeue,3,4000,516448
3,clh awesome,3,4000,615364
3,serial,3,8000,105186
3,lockfree,3,8000,259995
3,mutex homequeue,3,8000,258329
3,mutex awesome,3,8000,311609
3,clh homequeue,3,8000,261626
3,clh awesome,3,8000,312439
3,serial,7,1000,799974
3,lockfree,7,1000,2667643
3,mutex homequeue,7,1000,2766912
3,mutex awesome,7,1000,3703318
3,clh homequeue,7,1000,2778808
3,clh awesome,7,1000,3227468
3,serial,7,2000,411243
3,lockfree,7,2000,1425314
3,mutex homequeue,7,2000,1418111
3,mutex awesome,7,2000,2688734
3,clh homequeue,7,2000,1424561
3,clh awesome,7,2000,2687054
3,serial,7,4000,208502
3,lockfree,7,4000,723619
3,mutex homequeue,7,4000,720413
3,mutex awesome,7,4000,1405054
3,clh homequeue,7,4000,720103
3,clh awesome,7,4000,1422666
3,serial,7,8000,104958
3,lockfree,7,8000,363119
3,mutex homequeue,7,8000,363431
3,mutex awesome,7,8000,720305
3,clh homequeue,7,8000,362805
3,clh awesome,7,8000,725171
3,serial,13,1000,800696
3,lockfree,13,1000,3000835
3,mutex homequeue,13,1000,3552036
3,mutex awesome,13,1000,2801931
3,clh homequeue,13,1000,3184245
3,clh awesome,13,1000,2060666
3,serial,13,2000,411866
3,lockfree,13,2000,2614739
3,mutex homequeue,13,2000,2746644
3,mutex awesome,13,2000,3306323
3,clh homequeue,13,2000,2738927
3,clh awesome,13,2000,2623964
3,serial,13,4000,209287
3,lockfree,13,4000,1292917
3,mutex homequeue,13,4000,1396010
3,mutex awesome,13,4000,2607280
3,clh homequeue,13,4000,1408622
3,clh awesome,13,4000,2612004
3,serial,13,8000,104910
3,lockfree,13,8000,696499
3,mutex homequeue,13,8000,708398
3,mutex awesome,13,8000,1341508
3,clh homequeue,13,8000,710996
3,clh awesome,13,8000,1343256
3,serial,27,1000,798255
3,lockfree,27,1000,759854
3,mutex homequeue,27,1000,14761
3,mutex awesome,27,1000,2131585
3,clh homequeue,27,1000,1287866
3,clh awesome,27,1000,1952462
3,serial,27,2000,411885
3,lockfree,27,2000,645089
3,mutex homequeue,27,2000,647353
3,mutex awesome,27,2000,2162400
3,clh homequeue,27,2000,376677
3,clh awesome,27,2000,2469418
3,serial,27,4000,209520
3,lockfree,27,4000,552522
