Trial,Program,n,W,T
3,mutex homequeue,3,4000,595109
3,mutex awesome,3,4000,610423
3,clh homequeue,3,4000,603102
3,clh awesome,3,4000,618581
3,serial,3,8000,105645
3,lockfree,3,8000,300316
3,mutex homequeue,3,8000,299105
3,mutex awesome,3,8000,311654
3,clh homequeue,3,8000,305382
3,clh awesome,3,8000,313174
3,serial,7,1000,821240
3,lockfree,7,1000,4767483
3,mutex homequeue,7,1000,4875448
3,mutex awesome,7,1000,5037499
3,clh homequeue,7,1000,4871732
3,clh awesome,7,1000,4187843
3,serial,7,2000,417788
3,lockfree,7,2000,2580346
3,mutex homequeue,7,2000,2510829
3,mutex awesome,7,2000,2741231
3,clh homequeue,7,2000,2613393
3,clh awesome,7,2000,2776509
3,serial,7,4000,210434
3,lockfree,7,4000,1355566
3,mutex homequeue,7,4000,1326452
3,mutex awesome,7,4000,1420790
3,clh homequeue,7,4000,1328030
3,clh awesome,7,4000,1440715
3,serial,7,8000,105546
3,lockfree,7,8000,692840
3,mutex homequeue,7,8000,685873
3,mutex awesome,7,8000,720771
3,clh homequeue,7,8000,694004
3,clh awesome,7,8000,730887
3,serial,13,1000,821093
3,lockfree,13,1000,3305051
3,mutex homequeue,13,1000,4091883
3,mutex awesome,13,1000,2976158
3,clh homequeue,13,1000,3552349
3,clh awesome,13,1000,2226672
3,serial,13,2000,417976
3,lockfree,13,2000,4415119
3,mutex homequeue,13,2000,4845145
3,mutex awesome,13,2000,5011157
3,clh homequeue,13,2000,4854133
3,clh awesome,13,2000,3079602
3,serial,13,4000,210483
3,lockfree,13,4000,2081685
3,mutex homequeue,13,4000,2289683
3,mutex awesome,13,4000,2660627
3,clh homequeue,13,4000,2423737
3,clh awesome,13,4000,2669688
3,serial,13,8000,105898
3,lockfree,13,8000,1151238
3,mutex homequeue,13,8000,1276480
3,mutex awesome,13,8000,1354787
3,clh homequeue,13,8000,1281990
3,clh awesome,13,8000,1358061
3,serial,27,1000,820935
3,lockfree,27,1000,857917
3,mutex homequeue,27,1000,1884187
3,mutex awesome,27,1000,2350243
3,clh homequeue,27,1000,3004731
3,clh awesome,27,1000,1156175
3,serial,27,2000,418095
3,lockfree,27,2000,1523460
3,mutex homequeue,27,2000,1364720
3,mutex awesome,27,2000,3122924
3,clh homequeue,27,2000,1025185
3,clh awesome,27,2000,1659118
3,serial,27,4000,210465
3,lockfree,27,4000,1276361
3,mutex homequeue,27,4000,260317
3,mutex awesome,27,4000,1615678
3,clh homequeue,27,4000,817267
3,clh awesome,27,4000,2200502
3,serial,27,8000,106029
3,lockfree,27,8000,125052
3,mutex homequeue,27,8000,211089
3,mutex awesome,27,8000,1004838
3,clh homequeue,27,8000,683028
3,clh awesome,27,8000,613874
4,serial,1,1000,820584
4,lockfree,1,1000,767943
4,mutex homequeue,1,1000,733169
4,mutex awesome,1,1000,732559
4,clh homequeue,1,1000,759420
4,clh awesome,1,1000,759718
4,serial,1,2000,417181
4,lockfree,1,2000,404111
4,mutex homequeue,1,2000,393936
4,mutex awesome,1,2000,394406
4,clh homequeue,1,2000,402235
4,clh awesome,1,2000,402364
4,serial,1,4000,210169
4,lockfree,1,4000,206615
4,mutex homequeue,1,4000,203914
4,mutex awesome,1,4000,203927
4,clh homequeue,1,4000,205953
4,clh awesome,1,4000,205958
4,serial,1,8000,105517
4,lockfree,1,8000,104605
4,mutex homequeue,1,8000,103942
4,mutex awesome,1,8000,103949
4,clh homequeue,1,8000,104483
4,clh awesome,1,8000,104527
4,serial,2,1000,821136
4,lockfree,2,1000,1519923
4,mutex homequeue,2,1000,1446219
4,mutex awesome,2,1000,1458164
4,clh homequeue,2,1000,1501147
4,clh awesome,2,1000,1518346
4,serial,2,2000,417238
4,lockfree,2,2000,792461
4,mutex homequeue,2,2000,775609
4,mutex awesome,2,2000,787133
4,clh homequeue,2,2000,789841
4,clh awesome,2,2000,804461
4,serial,2,4000,210312
4,lockfree,2,4000,406850
4,mutex homequeue,2,4000,401109
4,mutex awesome,2,4000,408351
4,clh homequeue,2,4000,405635
